epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9626,1.26679,4.65367,1.22817,0.10033,0.05085,0.07383,0.05649,1.30581,4.26282,1.1867,6.09738e-05,6.09738e-05,6.09738e-05
2,32.8129,1.34559,3.48685,1.23696,0.87516,0.07925,0.08768,0.05626,1.4662,2.64657,1.31102,0.000120212,0.000120212,0.000120212
3,47.3146,1.40809,2.58108,1.30672,0.8843,0.09089,0.10016,0.06139,1.45962,2.35227,1.34076,0.000177009,0.000177009,0.000177009
4,62.1654,1.31996,2.22353,1.26085,0.87899,0.0939,0.10183,0.06337,1.40008,2.06637,1.30054,0.000174011,0.000174011,0.000174011
5,77.502,1.29855,1.93822,1.24665,0.87253,0.0977,0.10638,0.07106,1.35004,1.9342,1.29247,0.000170348,0.000170348,0.000170348
6,91.9322,1.2455,1.7452,1.21833,0.83151,0.11324,0.12381,0.07987,1.34244,1.69168,1.27438,0.000166685,0.000166685,0.000166685
7,106.698,1.2383,1.72399,1.21899,0.78857,0.1054,0.12499,0.0816,1.34938,1.72502,1.28363,0.000163022,0.000163022,0.000163022
8,121.433,1.27205,1.63365,1.21627,0.70488,0.10816,0.12373,0.08246,1.36101,1.72596,1.31403,0.000159359,0.000159359,0.000159359
9,135.885,1.2002,1.57939,1.1936,0.64558,0.10843,0.12626,0.08368,1.32165,1.59711,1.26475,0.000155696,0.000155696,0.000155696
10,150.724,1.17284,1.51891,1.17142,0.66159,0.12268,0.13519,0.0884,1.34999,1.61458,1.28382,0.000152033,0.000152033,0.000152033
11,165.276,1.18642,1.48723,1.18763,0.68029,0.11994,0.14743,0.09481,1.33963,1.59329,1.2647,0.00014837,0.00014837,0.00014837
12,180.214,1.19226,1.46887,1.1773,0.61882,0.1085,0.14214,0.09597,1.32711,1.58429,1.26304,0.000144707,0.000144707,0.000144707
13,194.875,1.15446,1.39714,1.17175,0.60343,0.13055,0.1522,0.10087,1.32031,1.59642,1.26464,0.000141044,0.000141044,0.000141044
14,209.667,1.15285,1.38842,1.16843,0.56049,0.12241,0.14486,0.09317,1.29191,1.53139,1.25599,0.000137381,0.000137381,0.000137381
15,224.063,1.14605,1.3609,1.14359,0.54844,0.14738,0.16471,0.11272,1.29548,1.54313,1.2319,0.000133718,0.000133718,0.000133718
16,238.763,1.14296,1.29309,1.14963,0.54482,0.12925,0.15718,0.11119,1.29351,1.50098,1.24453,0.000130055,0.000130055,0.000130055
17,252.826,1.11228,1.28495,1.14673,0.57953,0.13417,0.16613,0.10061,1.31852,1.55379,1.25148,0.000126392,0.000126392,0.000126392
18,267.315,1.15129,1.26719,1.14538,0.41838,0.17543,0.1892,0.12591,1.30207,1.46395,1.23646,0.000122729,0.000122729,0.000122729
19,282.097,1.1256,1.26623,1.13777,0.31624,0.24375,0.19456,0.1208,1.28603,1.45973,1.22443,0.000119066,0.000119066,0.000119066
20,296.587,1.07457,1.2273,1.12046,0.35677,0.19718,0.18792,0.11933,1.2687,1.46307,1.22575,0.000115403,0.000115403,0.000115403
21,311.538,1.1134,1.22562,1.13551,0.40288,0.22381,0.20339,0.11277,1.29874,1.44179,1.23194,0.00011174,0.00011174,0.00011174
22,325.953,1.12285,1.19294,1.13236,0.40599,0.20299,0.19412,0.11751,1.28898,1.46025,1.24792,0.000108077,0.000108077,0.000108077
23,340.837,1.08323,1.19716,1.12371,0.45775,0.17837,0.16866,0.10295,1.27573,1.43112,1.22372,0.000104414,0.000104414,0.000104414
24,355.499,1.07459,1.19652,1.11482,0.57275,0.15823,0.16311,0.10152,1.27633,1.42776,1.22382,0.000100751,0.000100751,0.000100751
25,370.204,1.08411,1.14243,1.10424,0.47851,0.17187,0.17715,0.10759,1.29102,1.41099,1.22759,9.7088e-05,9.7088e-05,9.7088e-05
26,384.404,1.04625,1.15015,1.10198,0.56443,0.1751,0.18728,0.10509,1.27223,1.43096,1.22604,9.3425e-05,9.3425e-05,9.3425e-05
27,399.011,1.05776,1.09779,1.09978,0.47417,0.16957,0.17961,0.09954,1.28604,1.46676,1.23111,8.9762e-05,8.9762e-05,8.9762e-05
28,413.994,1.08106,1.12664,1.11266,0.45482,0.20544,0.1906,0.10602,1.27956,1.41658,1.23024,8.6099e-05,8.6099e-05,8.6099e-05
29,428.721,1.08339,1.13132,1.10687,0.40541,0.16469,0.15984,0.09805,1.29604,1.41873,1.24113,8.2436e-05,8.2436e-05,8.2436e-05
30,443.326,1.02125,1.10546,1.09244,0.5188,0.17719,0.19113,0.10862,1.28037,1.36971,1.23043,7.8773e-05,7.8773e-05,7.8773e-05
31,457.95,1.02687,1.08401,1.09908,0.63007,0.14615,0.17603,0.11724,1.28279,1.40211,1.22977,7.511e-05,7.511e-05,7.511e-05
32,472.791,1.02917,1.07059,1.08869,0.51155,0.15789,0.16234,0.10146,1.28242,1.40259,1.23871,7.1447e-05,7.1447e-05,7.1447e-05
33,487.668,1.03969,1.0753,1.08824,0.4846,0.15386,0.16871,0.10711,1.27382,1.36291,1.22241,6.7784e-05,6.7784e-05,6.7784e-05
34,502.191,1.03811,1.07558,1.09694,0.45911,0.14744,0.17261,0.10761,1.2722,1.39952,1.22075,6.4121e-05,6.4121e-05,6.4121e-05
35,516.866,1.01591,1.05547,1.08485,0.46753,0.16981,0.18572,0.10429,1.25758,1.40814,1.21296,6.0458e-05,6.0458e-05,6.0458e-05
36,531.321,1.02543,1.0684,1.09094,0.46833,0.17462,0.17066,0.10397,1.26831,1.39811,1.22598,5.6795e-05,5.6795e-05,5.6795e-05
37,546.302,1.03533,1.04888,1.0827,0.55664,0.17147,0.17778,0.10499,1.26834,1.38616,1.22141,5.3132e-05,5.3132e-05,5.3132e-05
38,560.941,1.02435,1.04817,1.09059,0.53442,0.17013,0.17288,0.10582,1.2631,1.35264,1.21336,4.9469e-05,4.9469e-05,4.9469e-05
39,575.293,1.01353,1.03427,1.08523,0.51688,0.14763,0.16369,0.10383,1.26329,1.3695,1.21591,4.5806e-05,4.5806e-05,4.5806e-05
40,590.248,1.02779,1.03454,1.08349,0.46871,0.15852,0.1696,0.10599,1.2505,1.36491,1.21397,4.2143e-05,4.2143e-05,4.2143e-05
41,604.754,1.02296,1.16224,1.09386,0.46423,0.16018,0.16353,0.1044,1.27996,1.38661,1.23202,3.848e-05,3.848e-05,3.848e-05
42,618.676,0.9985,1.1298,1.08004,0.49711,0.1595,0.17599,0.10612,1.28395,1.37784,1.23223,3.4817e-05,3.4817e-05,3.4817e-05
43,632.712,0.97402,1.08807,1.07577,0.56984,0.15543,0.16529,0.10565,1.27679,1.36794,1.2297,3.1154e-05,3.1154e-05,3.1154e-05
44,646.666,0.96877,1.09038,1.08297,0.49453,0.16946,0.16825,0.10961,1.27039,1.36224,1.22044,2.7491e-05,2.7491e-05,2.7491e-05
45,660.71,0.96569,1.06028,1.07782,0.50409,0.15778,0.16235,0.10543,1.27078,1.37045,1.22503,2.3828e-05,2.3828e-05,2.3828e-05
46,675.077,0.97964,1.06151,1.06963,0.499,0.16926,0.16937,0.10928,1.26817,1.35357,1.21779,2.0165e-05,2.0165e-05,2.0165e-05
