epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3964,1.15988,5.28506,1.17809,0.02294,0.04576,0.02925,0.02281,1.29187,4.31126,1.16002,2.12675e-05,2.12675e-05,2.12675e-05
2,186.301,1.2923,4.18944,1.2008,0.78015,0.05404,0.05837,0.04212,1.34335,2.77027,1.20562,4.17573e-05,4.17573e-05,4.17573e-05
3,272.822,1.2971,3.16824,1.21265,0.72635,0.07953,0.08286,0.05783,1.3262,2.2695,1.19823,6.14024e-05,6.14024e-05,6.14024e-05
4,357.835,1.25942,2.72423,1.2038,0.61056,0.09429,0.09478,0.064,1.30657,2.07316,1.19127,6.01984e-05,6.01984e-05,6.01984e-05
5,442.42,1.23881,2.42538,1.17929,0.61126,0.102,0.10484,0.07205,1.27586,1.96308,1.18715,5.89312e-05,5.89312e-05,5.89312e-05
6,528.001,1.20049,2.26904,1.17563,0.51829,0.10769,0.11484,0.07813,1.26177,1.84473,1.17755,5.7664e-05,5.7664e-05,5.7664e-05
7,610.769,1.18359,2.11482,1.16222,0.47154,0.12002,0.12549,0.08092,1.26039,1.77284,1.18126,5.63968e-05,5.63968e-05,5.63968e-05
8,696.367,1.18716,2.07243,1.16531,0.44923,0.12281,0.13422,0.08646,1.2457,1.73921,1.17384,5.51296e-05,5.51296e-05,5.51296e-05
9,780.536,1.17384,1.98465,1.1569,0.48607,0.13013,0.14099,0.09084,1.24299,1.68983,1.17155,5.38624e-05,5.38624e-05,5.38624e-05
10,865.939,1.17416,1.93384,1.1546,0.41555,0.14148,0.148,0.09484,1.24275,1.69139,1.17076,5.25952e-05,5.25952e-05,5.25952e-05
11,949.165,1.15406,1.8849,1.1525,0.48054,0.14003,0.14881,0.09634,1.22896,1.63414,1.16064,5.1328e-05,5.1328e-05,5.1328e-05
12,1033.75,1.16223,1.84734,1.14587,0.52059,0.14713,0.16909,0.10626,1.22996,1.6168,1.16149,5.00608e-05,5.00608e-05,5.00608e-05
13,1117.46,1.12878,1.79896,1.1356,0.50372,0.1503,0.17355,0.11282,1.22616,1.56946,1.16368,4.87936e-05,4.87936e-05,4.87936e-05
